id,group_id,crop_id,phase,crop,max_theoretical_N,MAS_N,reference_yield,yield_unit,product,dry_or_irrigated,reference_yield_t_ha,dry_matter_pct,standard_yield,standard_N,max_increment,max_N_dose,note,crop_en
13.0,13.0,A18,nd,"Limone frutti, legno e foglie",340.0,,,nd,nd,no,0.0,,30.0,120.0,50.0,170.0,RR n. 2/2024,"Lemon - fruit, wood and leaves"
14.0,14.0,A19,nd,Luppolo (verde),340.0,,14.0,tq,,no,14.0,,14.0,120.0,40.0,160.0,,Hop (green)
15.0,15.0,A20,nd,"Mandarino frutti, legno e foglie",340.0,,,nd,nd,no,0.0,,25.0,140.0,50.0,190.0,RR n. 2/2024,"Mandarin - fruit, wood and leaves"
16.0,16.0,A21,nd,"Mandorlo frutti, legno e foglie",340.0,,,nd,nd,no,0.0,,,,0.0,,,"Almond - fruit, wood and leaves"
17.0,17.0,A22,nd,"Melo frutti, legno e foglie",340.0,120.0,35.0,tq,,no,35.0,,40.0,80.0,60.0,140.0,RR n. 2/2024,"Apple - fruit, wood and leaves"
18.0,18.0,A23,nd,Mirtillo,340.0,,17.5,nd,,no,0.0,,17.5,125.0,30.0,155.0,,Blueberry
19.0,19.0,A24,nd,"Nashi frutti, legno e foglie",340.0,,,nd,nd,no,0.0,,,,0.0,,,"Asian pear (Nashi) - fruit, wood and leaves"
20.0,20.0,A25,nd,"Nespolo frutti, legno e foglie",340.0,,,nd,nd,no,0.0,,,,0.0,,,"Loquat - fruit, wood and leaves"
21.0,21.0,A26,nd,"Nettarine frutti, legno e foglie",340.0,175.0,25.0,tq,,no,25.0,,25.0,100.0,50.0,150.0,RR n. 2/2024,"Nectarine - fruit, wood and leaves"
22.0,22.0,A27,nd,"Nocciolo frutti, legno e foglie",340.0,100.0,2.0,tq,,no,2.0,,,,0.0,,,"Hazelnut - fruit, wood and leaves"
23.0,23.0,A28,nd,"Noce da frutto frutti, legno e foglie",340.0,120.0,4.0,tq,,no,4.0,,4.0,90.0,50.0,140.0,RR n. 2/2024,"Walnut - fruit, wood and leaves"
24.0,24.0,A29,nd,"Olivo olive, legno e foglie",340.0,,,nd,nd,no,0.0,,4.0,70.0,30.0,100.0,RR n. 2/2024,"Olive - olives, wood and leaves"
25.0,25.0,A30,nd,"Pero media produzione frutti, legno e foglie",340.0,120.0,30.0,tq,,no,30.0,,30.0,90.0,50.0,140.0,RR n. 2/2024,"Pear (medium yield) - fruit, wood and leaves"
